Local time,Open,High,Low,Close,Volume
04.01.2014 23:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 03:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 07:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 11:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 15:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 19:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
05.01.2014 23:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
06.01.2014 03:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
06.01.2014 07:00:00.000 GMT+0900,171.924,172.229,170.409,170.573,16354.14
06.01.2014 11:00:00.000 GMT+0900,170.571,170.916,170.529,170.629,14641.58
06.01.2014 15:00:00.000 GMT+0900,170.629,171.282,170.526,171.025,28262.22
06.01.2014 19:00:00.000 GMT+0900,171.025,171.491,170.979,171.477,22688.05
06.01.2014 23:00:00.000 GMT+0900,171.479,172.129,170.434,170.754,41172.69
07.01.2014 03:00:00.000 GMT+0900,170.751,171.184,170.681,170.969,16657.18
07.01.2014 07:00:00.000 GMT+0900,170.947,171.41,170.83,171.074,15133.94
07.01.2014 11:00:00.000 GMT+0900,171.072,171.501,171.001,171.457,15232.55
07.01.2014 15:00:00.000 GMT+0900,171.454,171.456,170.835,171.054,23122.85
07.01.2014 19:00:00.000 GMT+0900,171.054,171.679,171.054,171.488,28927.02
07.01.2014 23:00:00.000 GMT+0900,171.488,171.699,171.356,171.593,32179.82
